MODULE	L1	L1_pv	L1/L2	L1/L2_pv	NUMBER_OF_GENES
BIOCARTA_INFLAM_PATHWAY	0.7148048388191082	0.058	4.794079046793714	0.143	27
BIOCARTA_GRANULOCYTES_PATHWAY	0.7564623732439785	0.063	6.185670441498914	0.157	13
BIOCARTA_TCYTOTOXIC_PATHWAY	0.7453158391327657	0.072	6.660890531410205	0.136	13
BIOCARTA_THELPER_PATHWAY	0.7415823153783117	0.079	6.515131825820491	0.142	13
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.6100262444747473	0.086	4.777492030204793	0.075	53
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.6723002811947287	0.092	5.157143733949811	0.121	22
REACTOME_GLUCURONIDATION	0.6703734228324194	0.096	3.96444098643546	0.222	17
CELL_MATRIX_ADHESIONS	0.5946503693732971	0.104	4.145769086944941	0.117	67
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.6611564967661859	0.105	3.554888594894301	0.269	15
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.5913864907041356	0.107	3.7384736727840227	0.162	77
BIOCARTA_IL17_PATHWAY	0.6585866790360543	0.109	2.5376701912824977	0.442	16
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.5911215830736228	0.109	3.363356660308607	0.214	52
REACTOME_GAP_JUNCTION_ASSEMBLY	0.6577040603335458	0.11	5.268509421056768	0.118	16
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.7144602492226668	0.112	8.217792799389063	0.091	10
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.6509917086567706	0.12	4.534082374700967	0.159	23
KEGG_ECM_RECEPTOR_INTERACTION	0.5843886324432258	0.121	3.831556448521816	0.153	81
Lessnick_EWS-FLI_Up_signature	0.47422932284705543	0.131	2.88698382465031	0.166	492
BIOCARTA_BARR_MAPK_PATHWAY	0.6982093818940642	0.132	7.3845166984856725	0.114	11
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	0.6421201434541655	0.132	3.77530961712144	0.241	15
REACTOME_RNA_POL_III_CHAIN_ELONGATION	0.6388108017431164	0.137	7.127720815848389	0.067	16
BIOCARTA_TOB1_PATHWAY	0.628248498257196	0.143	3.9792856362359483	0.22	20
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.5720083242422221	0.144	4.895311318780113	0.071	61
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.5715225502889891	0.145	3.8372777679684864	0.153	61
REACTOME_TRYPTOPHAN_CATABOLISM	0.6854527208977166	0.148	7.326837330600352	0.115	10
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.6236697541395129	0.151	3.802139051639602	0.241	15
REACTOME_GABA_A_RECEPTOR_ACTIVATION	0.6813158424142862	0.154	4.930659828618868	0.221	11
REACTOME_SEROTONIN_RECEPTORS	0.6808770841460602	0.154	4.483307713478613	0.243	11
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.5659725200491066	0.155	5.3485682570670505	0.055	59
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.46857144447738663	0.157	2.0069785821321053	0.683	259
BIOCARTA_LYM_PATHWAY	0.6781337636265443	0.158	5.975832380557996	0.168	10
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.6742630858713744	0.162	7.511417452932369	0.113	14
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.6739899434253532	0.163	4.8232573981137	0.227	12
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0.673442079521609	0.166	4.175555588222001	0.264	13
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.5606419063843354	0.166	2.8747586708252464	0.318	45
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.5563234605060462	0.17	3.229652766368446	0.231	36
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.6141079275653287	0.172	4.182381265147774	0.197	24
REACTOME_REGULATION_OF_KIT_SIGNALING	0.61237581407948	0.174	4.5727680167169105	0.159	16
BIOCARTA_TRKA_PATHWAY	0.6670937041619475	0.175	7.84303840370265	0.105	11
BIOCARTA_NTHI_PATHWAY	0.6098938405772869	0.176	3.3495021575634	0.3	23
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.6084267534834263	0.177	3.4474174907020516	0.286	29
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.6076173768804599	0.178	3.967664176038314	0.222	24
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.6067846541091505	0.179	3.3334750161158624	0.304	15
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.6628835905304536	0.181	3.902642739449156	0.29	12
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.5500160639355522	0.183	3.8240380103094913	0.155	82
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.54986414616038	0.184	3.6774941153642313	0.172	42
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	0.5491061727252264	0.184	3.7985957884139765	0.157	63
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.6605482336460025	0.186	4.9476254029060796	0.22	10
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.6598273055934734	0.188	4.173446075878865	0.264	10
BIOCARTA_IL10_PATHWAY	0.6030018396305143	0.189	4.567155845592463	0.159	16
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.6028319903931904	0.189	4.688679158454981	0.152	15
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.5433813045907062	0.191	3.6319125590880432	0.176	77
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.492270380568203	0.191	1.9604652995089162	0.646	180
REACTOME_THE_NLRP3_INFLAMMASOME	0.6542168949122675	0.198	4.237099323967311	0.259	11
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	0.5368025354502088	0.202	3.7081348647181542	0.17	54
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.5945079450483968	0.205	5.900337376881666	0.092	18
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.6493312062171378	0.206	5.497277065588293	0.189	14
BIOCARTA_LAIR_PATHWAY	0.5933240114285506	0.207	2.9952317382564284	0.354	16
BIOCARTA_AMI_PATHWAY	0.591897144569157	0.209	3.124563886456183	0.335	19
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.5327933261870185	0.211	3.7310712895807665	0.163	37
REACTOME_G2_M_CHECKPOINTS	0.5323120450964753	0.212	3.0927721077799895	0.256	43
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0.6437171272904758	0.213	7.121625840767241	0.12	9
KEGG_PROTEASOME	0.5305863729563719	0.214	4.051518810008059	0.127	46
REACTOME_G1_S_TRANSITION	0.4829584778888652	0.215	3.1291298202709523	0.169	107
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.6421348727884336	0.218	4.680588667597931	0.238	13
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.5865317323042295	0.219	4.670899653439003	0.154	20
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.5862882287416039	0.22	3.7024440635445606	0.252	18
BIOCARTA_IL12_PATHWAY	0.5857927882750406	0.22	3.399032092061171	0.296	21
KEGG_RNA_POLYMERASE	0.5832410391706186	0.223	3.6117106034756308	0.259	28
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0.639109169337477	0.224	5.6569325051885455	0.18	13
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.6367227880164598	0.228	4.908409018639723	0.223	10
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.5814080055901921	0.229	4.0324250656954534	0.212	23
BIOCARTA_EPHA4_PATHWAY	0.6352736289688571	0.231	3.6750845968283374	0.314	9
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.6342905844713616	0.231	3.7873158822395703	0.306	11
REACTOME_UNWINDING_OF_DNA	0.6314475648095249	0.234	5.725822250133585	0.178	10
BIOCARTA_CARDIACEGF_PATHWAY	0.5742814151842739	0.239	3.1796822658860595	0.325	16
REACTOME_M_G1_TRANSITION	0.5224397648607706	0.24	3.1818124584063656	0.239	78
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.6247602640337053	0.244	5.795741843683215	0.177	12
REACTOME_POL_SWITCHING	0.6245584074605571	0.244	3.870319471287657	0.293	12
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.5712091488301598	0.244	2.8160610413178175	0.387	15
BIOCARTA_INTRINSIC_PATHWAY	0.5703234522031473	0.244	1.6938427891887273	0.761	20
BIOCARTA_TH1TH2_PATHWAY	0.5687186885869284	0.249	2.180809327736267	0.56	18
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	0.5208768957569876	0.25	3.5470072232576566	0.185	50
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	0.5203646633274097	0.251	3.764328288874013	0.158	46
BIOCARTA_PARKIN_PATHWAY	0.6206287258767832	0.253	5.580455442438034	0.185	12
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.6159142350514336	0.257	3.4764484974397596	0.345	11
KEGG_FOCAL_ADHESION	0.47270635776854303	0.258	2.6202802781954606	0.318	195
REACTOME_G_PROTEIN_ACTIVATION	0.5650181392819388	0.259	4.754532920456824	0.147	26
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.5641493452290535	0.261	2.6246528852093265	0.435	24
REACTOME_PYRIMIDINE_CATABOLISM	0.6140603044165945	0.263	3.401942033557897	0.353	11
BIOCARTA_CCR3_PATHWAY	0.563641632373176	0.264	3.2513747199634793	0.314	22
BIOCARTA_CTLA4_PATHWAY	0.5609916923263301	0.268	3.081443959688499	0.34	20
REACTOME_DNA_STRAND_ELONGATION	0.5576675248352291	0.274	3.830279315357783	0.237	29
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.6084920260946043	0.276	4.726092639939538	0.236	12
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.5107922928804715	0.278	2.8108076675423055	0.333	47
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.5553093896540062	0.28	3.0728586564916536	0.343	16
REACTOME_EXTENSION_OF_TELOMERES	0.5545223399084482	0.282	3.8341628563599333	0.237	26
BIOCARTA_SPRY_PATHWAY	0.5520465311275085	0.285	4.47650927426655	0.161	17
REACTOME_AXON_GUIDANCE	0.4458117387729269	0.288	2.481641925770808	0.356	245
BIOCARTA_CCR5_PATHWAY	0.5505698631840439	0.289	2.863140211826003	0.373	19
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.6032903184311992	0.29	4.777188767549748	0.231	13
BIOCARTA_SPPA_PATHWAY	0.5503603572347129	0.29	4.935270352848742	0.135	21
BIOCARTA_IL1R_PATHWAY	0.5502645043443595	0.291	3.1293291060175936	0.333	30
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	0.6024400859539356	0.294	5.1891613983289355	0.212	11
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.6018432621363201	0.294	4.354137723552724	0.253	10
BIOCARTA_NO2IL12_PATHWAY	0.5483150090777477	0.295	3.964063557733135	0.222	16
REACTOME_S_PHASE	0.46207075603588965	0.295	2.7669935335169527	0.262	104
BIOCARTA_MCM_PATHWAY	0.5479854426366297	0.296	3.3201251479008684	0.306	17
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.5037948526441358	0.296	2.8327934114827893	0.328	36
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	0.5027921252802572	0.297	3.475056203460176	0.192	46
KEGG_MELANOGENESIS	0.460702474026675	0.301	3.062559883686096	0.18	99
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.5923788184331124	0.312	4.770177550738836	0.231	9
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.4571759941380532	0.313	2.3222717671588256	0.457	99
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.5369792927790353	0.314	1.9232891236037801	0.653	15
KEGG_ASTHMA	0.5366410181991981	0.315	3.6187319242405027	0.259	29
BIOCARTA_CK1_PATHWAY	0.5343682251841065	0.318	3.382996874321106	0.296	16
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.5324010415215705	0.321	1.9358924399132609	0.648	25
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	0.532392584228453	0.321	1.796055313070726	0.712	20
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.4973778059109576	0.321	2.6621155023415994	0.37	55
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	0.5893971725196335	0.322	4.628400786415869	0.239	12
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.5891766987060598	0.322	4.489958907082237	0.243	9
BIOCARTA_MONOCYTE_PATHWAY	0.5887834723258963	0.322	2.3216371957446933	0.558	10
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.45533714511713885	0.325	2.944375496835784	0.216	108
REACTOME_SIGNALING_BY_PDGF	0.45480791901077056	0.328	2.545864107627569	0.35	118
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.5297100453820074	0.331	4.333293733199115	0.18	15
REACTOME_GLUTATHIONE_CONJUGATION	0.5284721848937135	0.332	3.012800484987994	0.353	21
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.5262509344629525	0.336	2.496735794276181	0.451	28
REACTOME_BASIGIN_INTERACTIONS	0.5260341056636187	0.336	2.443608880423597	0.468	29
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.5260099210056076	0.336	2.410767492028219	0.479	15
KEGG_PRION_DISEASES	0.5252921152963189	0.338	2.702269742685428	0.41	33
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.5251492628168044	0.338	3.359285181166221	0.3	18
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.5827314719566841	0.339	4.500296411112352	0.243	10
KEGG_DILATED_CARDIOMYOPATHY	0.49230008842179174	0.341	2.970514040668163	0.287	87
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	0.49178267130911363	0.342	3.391098215133079	0.204	46
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.5802570533778566	0.347	3.3348435658537365	0.367	12
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.5238396580813155	0.347	3.1129469550269246	0.336	25
KEGG_HISTIDINE_METABOLISM	0.5237956255321792	0.347	3.1267829157405442	0.334	27
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.5236801848517176	0.347	1.5154284855264177	0.833	15
REACTOME_LAGGING_STRAND_SYNTHESIS	0.5227644433365081	0.349	3.4305707487372654	0.29	18
REACTOME_REGULATION_OF_IFNG_SIGNALING	0.5780081618598674	0.355	3.543453023322718	0.334	13
REACTOME_MITOTIC_G1_G1_S_PHASES	0.44909038161443904	0.355	2.62014842717909	0.318	132
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.48389885494450036	0.357	3.757198778570311	0.159	49
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.5183156459910914	0.361	2.5162307669364794	0.445	30
BIOCARTA_P27_PATHWAY	0.5751990486768163	0.362	3.073399449517446	0.405	11
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.4827380449085679	0.365	2.5432523899904114	0.416	53
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.5735809184795222	0.367	4.284245518187325	0.256	14
REACTOME_INTERFERON_GAMMA_SIGNALING	0.48215785154015944	0.369	1.5839584071272332	0.826	59
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.5139003609359275	0.37	2.953512956116642	0.36	34
KEGG_ALLOGRAFT_REJECTION	0.4819263832372336	0.37	2.1051776019399453	0.584	36
REACTOME_AMYLOIDS	0.48053861227196887	0.372	2.9930612941593435	0.279	82
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.48042709109804077	0.372	2.731499798033258	0.355	80
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	0.51170023723003	0.376	2.825812768785752	0.385	17
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.5082336589096123	0.38	3.3369455919727273	0.304	33
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.5678090180397345	0.381	4.092105752160159	0.275	14
BIOCARTA_RHO_PATHWAY	0.5080032273068157	0.381	2.73215046896613	0.402	30
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.5079128030714893	0.382	2.8469216189198776	0.377	33
BIOCARTA_BARRESTIN_PATHWAY	0.5666734739680801	0.384	2.5393910365638375	0.503	10
BIOCARTA_GABA_PATHWAY	0.5665787878683577	0.384	2.548715272387675	0.499	9
KEGG_LONG_TERM_POTENTIATION	0.4753499807016218	0.386	3.101377986925984	0.253	68
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.4746151118580942	0.388	2.6998403625001237	0.362	73
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.5060368092562242	0.389	2.798847463885771	0.389	27
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	0.47424723628198745	0.389	2.868232369506649	0.32	64
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.47399798475784255	0.389	1.4796830327551884	0.872	37
BIOCARTA_PAR1_PATHWAY	0.473843964805344	0.389	3.0063339245127736	0.276	36
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.4729621224388063	0.389	3.4617343288627818	0.193	50
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	0.5627464421918148	0.39	4.551192427098745	0.241	12
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	0.5054141388727937	0.39	3.4594560178915894	0.285	18
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.5600086529997877	0.393	5.273265598974245	0.209	10
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS	0.47217230026294305	0.393	3.4629942896668338	0.193	43
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.472107412112802	0.393	3.064444947518376	0.26	50
REACTOME_NETRIN1_SIGNALING	0.47202244167123425	0.393	1.8958080164457223	0.669	39
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.559641625486873	0.394	2.8496747358972723	0.442	10
BIOCARTA_ETC_PATHWAY	0.5593710860612684	0.396	3.9596418395802955	0.283	11
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.5031959703747126	0.397	3.1512027795257107	0.329	33
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.5563985619352038	0.398	2.6097862191795698	0.489	10
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.4688292183119385	0.402	3.7373236835162573	0.162	63
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.4379836211083327	0.403	1.7661396279343544	0.754	152
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.5001996897393671	0.405	3.115790039049633	0.336	22
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.5000100915894949	0.405	2.1032220424259	0.593	16
REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.43727639466698465	0.407	2.681348854605325	0.289	134
REACTOME_ION_CHANNEL_TRANSPORT	0.4670258967189563	0.409	1.9786240382296016	0.64	53
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.5527412099892058	0.41	3.8246089788429667	0.3	10
BIOCARTA_CTL_PATHWAY	0.5518227579892727	0.411	2.174727483090367	0.607	14
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.5507759112867808	0.414	3.3848732118592686	0.355	11
REACTOME_ETHANOL_OXIDATION	0.549697829805752	0.414	2.774676204431203	0.457	9
KEGG_BLADDER_CANCER	0.4658244346919504	0.414	2.7369914908311577	0.352	40
BIOCARTA_MYOSIN_PATHWAY	0.49517434237539776	0.416	3.344552629184207	0.3	29
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.46535129066226544	0.416	3.0886236547978467	0.256	73
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.4944407676486044	0.418	2.081599655100463	0.601	22
BIOCARTA_SARS_PATHWAY	0.5473721078981688	0.419	2.8224744390549157	0.447	9
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.4940358547444745	0.419	3.0188885270204127	0.35	28
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.4936794808692237	0.42	3.17791286342126	0.325	25
REACTOME_SYNTHESIS_OF_DNA	0.46150578325017017	0.424	2.64443399656509	0.382	88
REACTOME_RECYCLING_PATHWAY_OF_L1	0.4907191153144662	0.427	3.5634819373347897	0.268	26
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.46111502538768395	0.427	2.594263299403417	0.404	47
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	0.5434903910557871	0.43	3.0467893244876914	0.412	13
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.4600882902643136	0.43	2.706128696508205	0.36	54
REACTOME_SHC_MEDIATED_CASCADE	0.48792301265168564	0.434	2.914784313454557	0.366	26
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.5410853531557647	0.437	3.167728976413827	0.393	11
BIOCARTA_ERYTH_PATHWAY	0.5398844365952313	0.439	2.429489585583411	0.53	14
REACTOME_G0_AND_EARLY_G1	0.48513055705074	0.442	3.009850170173388	0.353	25
REACTOME_ERK_MAPK_TARGETS	0.4850331516967156	0.443	4.075472476868604	0.208	20
CELL_CELL_ADHESIONS	0.4315732548798199	0.444	2.697220500730089	0.284	104
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.48446372572418317	0.445	3.413527302669325	0.294	22
KEGG_PYRIMIDINE_METABOLISM	0.43147061718518726	0.446	2.6132041800132573	0.325	96
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.48408600127236107	0.447	2.4240110185898125	0.473	15
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.48360984302890225	0.447	2.8611083164136706	0.375	18
KEGG_DNA_REPLICATION	0.48358607900101674	0.447	3.1156839501706126	0.336	35
E2F3_TARGETS	0.4549552134255559	0.452	2.3028772577906227	0.507	48
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.4796961707126164	0.454	1.8814683264019678	0.671	24
REACTOME_KERATAN_SULFATE_DEGRADATION	0.532108024300584	0.455	1.8996718896655453	0.719	10
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.4783580437159378	0.456	2.0271497356366592	0.613	15
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.5299195962706353	0.457	1.5176666302416204	0.873	12
BIOCARTA_LONGEVITY_PATHWAY	0.5288165598945916	0.457	2.7887812486507393	0.454	14
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	0.4773726228587717	0.46	2.0125430394885897	0.62	32
KEGG_TRYPTOPHAN_METABOLISM	0.4541845449938063	0.461	1.9755222607471514	0.642	39
